antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"computers.components.power_supply, computers.components.cpu","unknown, computers.components.motherboard",0.0187863986473793,0.02216795040390757,0.013526207026113094,0.72,32.479322033898306,1.0,0.013109751072629953,3.492257319986044,0.9877677792669177,0.493150684931507,0.7136522574447646,0.6650847457627118
"unknown, computers.components.motherboard","computers.components.power_supply, computers.components.cpu",0.02216795040390757,0.0187863986473793,0.013526207026113094,0.6101694915254238,32.479322033898306,1.0,0.013109751072629953,2.517026194774114,0.9911836908955065,0.493150684931507,0.6027057636204922,0.6650847457627118
"computers.components.power_supply, computers.components.videocards, computers.components.motherboard","computers.components.cpu, unknown",0.014465526958482059,0.023670862295697915,0.011083975201953785,0.7662337662337662,32.37033601319315,1.0,0.01074156370528485,4.176519089068402,0.9833319332889627,0.40972222222222215,0.7605661607970632,0.6172438672438672
"computers.components.cpu, unknown","computers.components.power_supply, computers.components.videocards, computers.components.motherboard",0.023670862295697915,0.014465526958482059,0.011083975201953785,0.4682539682539682,32.37033601319315,1.0,0.01074156370528485,1.8533931881079289,0.9926032945995571,0.40972222222222215,0.46044907987340306,0.6172438672438672
"computers.components.power_supply, computers.components.cpu, computers.components.motherboard","unknown, computers.components.videocards",0.01634416682321999,0.021228630471538605,0.011083975201953785,0.6781609195402298,31.945580307191538,1.0,0.010737010924098466,3.0411824696062904,0.984792376118398,0.4184397163120566,0.6711805325744037,0.6001424066727699
"unknown, computers.components.videocards","computers.components.power_supply, computers.components.cpu, computers.components.motherboard",0.021228630471538605,0.01634416682321999,0.011083975201953785,0.5221238938053098,31.945580307191538,1.0,0.010737010924098466,2.0583909101662248,0.9897068870164937,0.4184397163120566,0.5141836300087211,0.6001424066727699
"computers.components.power_supply, unknown","computers.components.videocards, computers.components.motherboard",0.015592710877324816,0.02329513432275033,0.011459703174901371,0.7349397590361446,31.549067236688693,1.0,0.011096468880558279,3.684841084145988,0.983640971092479,0.41780821917808225,0.7286178760048851,0.6134376214535562
"computers.components.videocards, computers.components.motherboard","computers.components.power_supply, unknown",0.02329513432275033,0.015592710877324816,0.011459703174901371,0.49193548387096775,31.549067236688693,1.0,0.011096468880558279,1.9375635531938369,0.9913980935804174,0.41780821917808225,0.48388789706968727,0.6134376214535562
"computers.components.power_supply, computers.components.motherboard","computers.components.cpu, unknown",0.0187863986473793,0.023670862295697915,0.013526207026113094,0.72,30.417142857142856,1.0,0.013081516770698893,3.486889777515364,0.9856404365307295,0.46753246753246763,0.7132114681547046,0.6457142857142857
"computers.components.cpu, unknown","computers.components.power_supply, computers.components.motherboard",0.023670862295697915,0.0187863986473793,0.013526207026113094,0.5714285714285714,30.417142857142853,1.0,0.013081516770698893,2.2894984031561147,0.9905714835482009,0.46753246753246763,0.5632231065889882,0.6457142857142857
"computers.components.power_supply, computers.components.cpu","computers.components.videocards, computers.components.motherboard",0.0187863986473793,0.02329513432275033,0.012962615066691715,0.69,29.619919354838707,1.0,0.012524983386760278,3.1506608570233854,0.9847386281969105,0.4451612903225806,0.6826062704366224,0.6232258064516129
"computers.components.videocards, computers.components.motherboard","computers.components.power_supply, computers.components.cpu",0.02329513432275033,0.0187863986473793,0.012962615066691715,0.5564516129032258,29.619919354838704,1.0,0.012524983386760278,2.2121906648677263,0.9892844499081485,0.4451612903225806,0.5479593979482809,0.6232258064516129
"computers.components.power_supply, computers.components.cpu","unknown, computers.components.videocards",0.0187863986473793,0.021228630471538605,0.011647567161375164,0.62,29.205840707964605,1.0,0.011248757646598936,2.5757141303380564,0.9842508013562838,0.4105960264900662,0.6117581573896353,0.5843362831858407
"unknown, computers.components.videocards","computers.components.power_supply, computers.components.cpu",0.021228630471538605,0.0187863986473793,0.011647567161375164,0.5486725663716814,29.205840707964597,1.0,0.011248757646598936,2.174061508879336,0.9867067054671537,0.4105960264900662,0.5400314131335363,0.5843362831858407
